"id","step","substep","model","heatpump","tank_number","power","version","bypass","status","created_at"
"03 2101 0000 0000 0521 612438","9","0",NULL,NULL,NULL,NULL,NULL,NULL,"mounted",NULL
"031010103031320122553598","9","0","250","Pro",NULL,"18 kW","Standard*","według schematu","mounted","2022-01-21 08:42:03"
"031010103031320222366246","9","0","250","Rotenso",,"Sama Szafa","Standard*","według schematu",NULL,"2022-02-23 07:49:01"
"031010103031320222683682","9","0","250","Panasonic",,"Sama Szafa","standard","według schematu","mounted","2022-02-23 11:29:18"
"031010103031320322021372","9","0","250","Pro",,"18 kW","Standard*","według schematu","mounted","2022-03-08 12:03:37"
"031010103031320322035719","9","0","250","Pro",,"18 kW","standard","według schematu",NULL,"2022-04-21 10:10:49"
"031010103031320322091953","3","0","200S","Pro",,"18 kW","Standard*","według schematu",NULL,"2022-06-24 13:20:43"
"031010103031320322103702","9","0","250","Pro",,"7 kW","standard","według schematu",NULL,"2022-03-31 14:06:15"
"031010103031320322108297","8","0","250","Samsung",,"Sama Szafa","standard","według schematu",NULL,"2022-05-17 11:46:46"
"031010103031320322129664","9","0","250","Pro",,"18 kW","Standard*","według schematu",NULL,"2022-03-23 11:47:11"
"031010103031320322162132","7","0","250","Samsung",,"Sama Szafa","standard","według schematu",NULL,"2022-06-03 09:25:02"
"031010103031320322287980","9","0","250","Samsung",,"Sama Szafa","standard","według schematu","mounted","2022-03-11 11:35:28"
"031010103031320322333060","3","0","250","Pro",,"18 kW","Standard*","według schematu",NULL,"2022-06-24 13:20:50"
"031010103031320322347815","9","0","250","Samsung",,"Sama Szafa","standard","według schematu","mounted","2022-03-23 08:30:22"
"031010103031320322349518","9","0","250","Pro",,"18 kW","Standard*","według schematu",NULL,"2022-05-27 07:04:14"
"031010103031320322397442","9","0","250","Samsung",,"Sama Szafa","standard","według schematu",NULL,"2022-03-25 13:30:50"
"031010103031320322443038","9","0","250","Pro",,"18 kW","Standard*","według schematu",NULL,"2022-03-23 11:46:56"
"031010103031320322461481","9","0","250","Pro",,"18 kW","Standard*","według schematu","mounted","2022-04-28 09:10:18"
"031010103031320322555523","9","0","250","Pro",,"18 kW","Standard*","według schematu",NULL,"2022-03-23 11:47:29"
"031010103031320322576025","9","0","250","Pro",,"18 kW","Standard*","według schematu",NULL,"2022-03-23 11:46:49"
"031010103031320322627604","9","0","250","Rotenso",,"Sama Szafa","standard","według schematu","mounted","2022-03-28 09:33:52"
"031010103031320322653612","9","0","250","Pro",,"18 kW","standard","według schematu",NULL,"2022-03-30 08:57:20"
"031010103031320322844032","9","0","250","Pro",,"18 kW","Standard*","według schematu","mounted","2022-03-01 09:09:51"
"031010103031320322917641","3","0","200S","Samsung",,"Sama Szafa","standard","bypass",NULL,"2022-07-08 08:36:53"
"031010103031320322928886","9","0","250","Samsung",,"Sama Szafa","standard","bypass","mounted","2022-03-24 08:16:51"
"031010103031320322931879","9","0","250","Pro",,"18 kW","Standard*","według schematu",NULL,"2022-04-01 09:13:19"
"031010103031320322987868","9","0","250","Samsung",,"Sama Szafa","standard","według schematu",NULL,"2022-04-07 08:19:05"
"031010103031320721204581","9","0","250","Gree 8 kW",NULL,NULL,"standard","bez bypassu",NULL,"2021-08-10 13:39:28"
